stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2653,,Taikos pr.,,54.91762,23.98379,https://www.stops.lt/kaunas/index.html#stop/362,,
2622,,Urmas,,54.91531,23.98568,https://www.stops.lt/kaunas/index.html#stop/328,,
5049,,Urmas,,54.91479,23.98539,https://www.stops.lt/kaunas/index.html#stop/703,,
2734,,Draugystės žiedas,,54.91375,23.97562,https://www.stops.lt/kaunas/index.html#stop/453,,
2735,,Draugystės žiedas,,54.91393,23.97723,https://www.stops.lt/kaunas/index.html#stop/454,,
2654,,Trys berželiai,,54.91526,23.98004,https://www.stops.lt/kaunas/index.html#stop/363,,
2655,,Trys berželiai,,54.91503,23.98030,https://www.stops.lt/kaunas/index.html#stop/364,,
2738,,Birželio 23-iosios g.,,54.91498,23.95861,https://www.stops.lt/kaunas/index.html#stop/457,,
2739,,Birželio 23-iosios g.,,54.91521,23.95928,https://www.stops.lt/kaunas/index.html#stop/458,,
2736,,Draugystės parkas,,54.91631,23.96553,https://www.stops.lt/kaunas/index.html#stop/455,,
2737,,Draugystės parkas,,54.91655,23.96536,https://www.stops.lt/kaunas/index.html#stop/456,,
2645,,Kauno saulėtekis,,54.92492,23.98378,https://www.stops.lt/kaunas/index.html#stop/354,,
2646,,Kauno saulėtekis,,54.92447,23.98283,https://www.stops.lt/kaunas/index.html#stop/355,,
2729,,Kovo 11-osios g.,,54.91961,23.97202,https://www.stops.lt/kaunas/index.html#stop/448,,
2728,,Rėda,,54.91824,23.96884,https://www.stops.lt/kaunas/index.html#stop/447,,
2643,,Technikos profesinio mokymo centras,,54.92548,23.99320,https://www.stops.lt/kaunas/index.html#stop/351,,
2644,,Technikos profesinio mokymo centras,,54.92536,23.99434,https://www.stops.lt/kaunas/index.html#stop/352,,
2730,,V. Krėvės pr.,,54.92065,23.97464,https://www.stops.lt/kaunas/index.html#stop/449,,
2731,,V. Krėvės pr.,,54.92146,23.97616,https://www.stops.lt/kaunas/index.html#stop/450,,
2796,,Šiaurės pr.,,54.92938,23.92728,https://www.stops.lt/kaunas/index.html#stop/515,,
2786,,Islandijos pl.,,54.93345,23.94402,https://www.stops.lt/kaunas/index.html#stop/505,,
2790,,Čečėnijos aikštė,,54.92576,23.94822,https://www.stops.lt/kaunas/index.html#stop/509,,
2791,,Čečėnijos aikštė,,54.92552,23.94753,https://www.stops.lt/kaunas/index.html#stop/510,,
2703,,Pakraščio g.,,54.92460,23.96200,https://www.stops.lt/kaunas/index.html#stop/422,,
2704,,Pakraščio g.,,54.92482,23.96119,https://www.stops.lt/kaunas/index.html#stop/423,,
2782,,V. Landsbergio-Žemkalnio g.,,54.92626,23.95611,https://www.stops.lt/kaunas/index.html#stop/501,,
2783,,V. Landsbergio-Žemkalnio g.,,54.92642,23.95401,https://www.stops.lt/kaunas/index.html#stop/502,,
2788,,Eiguliai,,54.92830,23.94301,https://www.stops.lt/kaunas/index.html#stop/507,,
2789,,Eiguliai,,54.92761,23.94274,https://www.stops.lt/kaunas/index.html#stop/508,,
2787,,S. Žukausko g.,,54.92996,23.94277,https://www.stops.lt/kaunas/index.html#stop/506,,
2792,,Ašigalio g.,,54.93120,23.93668,https://www.stops.lt/kaunas/index.html#stop/511,,
2793,,Ašigalio g.,,54.93146,23.93710,https://www.stops.lt/kaunas/index.html#stop/512,,
2785,,K. Škirpos g.,,54.93123,23.94527,https://www.stops.lt/kaunas/index.html#stop/504,,
2777,,Martyno Mažvydo pagrindinė mokykla,,54.93087,23.95722,https://www.stops.lt/kaunas/index.html#stop/496,,
2778,,Martyno Mažvydo pagrindinė mokykla,,54.93116,23.95461,https://www.stops.lt/kaunas/index.html#stop/497,,
2784,,P. Plechavičiaus g.,,54.93137,23.94835,https://www.stops.lt/kaunas/index.html#stop/503,,
2879,,P. Plechavičiaus g.,,54.93108,23.94985,https://www.stops.lt/kaunas/index.html#stop/601,,
14424,,S. Žukausko g.,,54.93157,23.94077,https://www.stops.lt/kaunas/index.html#stop/766,,
2775,,Šiaurinė,,54.93065,23.96530,https://www.stops.lt/kaunas/index.html#stop/494,,
2776,,Šiaurinė,,54.93089,23.96380,https://www.stops.lt/kaunas/index.html#stop/495,,
2794,,Ukmergės g.,,54.92990,23.93215,https://www.stops.lt/kaunas/index.html#stop/513,,
2795,,Ukmergės g.,,54.92977,23.93083,https://www.stops.lt/kaunas/index.html#stop/514,,
